address,parsed_address,latitude,longitude,st_makepoint
MOHAMMAD RAJIDUL BARE H/F/#242/2/B/AHMEDNAGAR MIRPUR ,242/2/B,23.79415295,90.35795401,POINT (90.35795401 23.79415295)
"198/3, AHMED NAGAR MIRPUR","198/3,",23.79288373,90.35994852,POINT (90.35994852 23.79288373)
"414,AHAMED NAGER,MIRPUR.","414,",23.79388663,90.35939244,POINT (90.35939244 23.79388663)
"HOUSE/FLAT # 171/1, BLOCK # AHMED NAGAR, MIRPUR, CONTACT NO: 01670809730","171/1, ",23.79424387,90.36087487,POINT (90.36087487 23.79424387)
"HOUSE/FLAT # 353/4/F,AHMED NAGAR, MIRPUR,  RIGHT SIDE", 353/4/F,23.79228009,90.35522958,POINT (90.35522958 23.79228009)
"AHMED NAGAR, MIRPUR ","AHMED NAGAR, MIRPUR ",23.79436427,90.35686981,POINT (90.35686981 23.79436427)
"HOUSE/FLAT # 333/4/C/2,AHMEDNAGAR, MIRPUR, CONTACT NO: 01819259955","333/4/C/2,",23.79351414,90.35523809,POINT (90.35523809 23.79351414)
"HOUSE/FLAT # 329, BLOCK # AHMED NAGAR, MIRPUR, CONTACT NO: 01794285272","329, ",23.79462365,90.35536403,POINT (90.35536403 23.79462365)
"HOUSE/FLAT # 369/E/4, BLOCK # AHMEDNAGAR, MIRPUR, CONTACT NO: 01822696903","369/E/4, ",23.79217732,90.35520892,POINT (90.35520892 23.79217732)
"HOUSE/FLAT # 238,238/A, BLOCK #  AHMED NAGAR, MIRPUR, CONTACT NO: 01710894811","238,238/A, ",23.79450562,90.35824497,POINT (90.35824497 23.79450562)
"HOUSE/FLAT # 283/2, BLOCK # AHAMMED NAGAR, PAIKPARA, MIRPUR, CONTACT NO: 01815052697","283/2,",23.79210351,90.35784906,POINT (90.35784906 23.79210351)
"HOUSE/FLAT # 154, BLOCK # AHMED NAGAR, MIRPUR, CONTACT NO: 01715036829","154, ",23.79451642,90.36120701,POINT (90.36120701 23.79451642)
"HOUSE/FLAT # 350, COMMON, BLOCK # AHMEDNAGAR PAIKPARA, MIRPUR, CONTACT NO: 01789346088","350, ",23.79296737,90.35590071,POINT (90.35590071 23.79296737)
"HOUSE/FLAT # 129/1, ROAD # JONAKI, BLOCK # AHMMADNAGAR ,PAIKPARA, MIRPUR, CONTACT NO: 01712277927","129/1, ",23.79288137,90.3620523,POINT (90.3620523 23.79288137)
"HOUSE/FLAT # 334/4/1, BLOCK # NORTH AHMEDNAGAR, MIRPUR, CONTACT NO: 01720355440","334/4/1, ",23.79264005,90.35537736,POINT (90.35537736 23.79264005)
"HOUSE/FLAT # 52/1/B, BLOCK #  EAST AHMEDNAGAR, MIRPUR, CONTACT NO: 01755540779","52/1/B, ",23.79536194,90.36082174,POINT (90.36082174 23.79536194)
"HOUSE/FLAT # 309/2, BLOCK # AHMED NAGAR, MIRPUR, CONTACT NO: 01715133596","309/2, ",23.79432358,90.35743734,POINT (90.35743734 23.79432358)
"HOUSE/FLAT # 265/4/A,, BLOCK # AHMED NAGAR,, MIRPUR, CONTACT NO: 01787691036","265/4/A,",23.79238583,90.35931483,POINT (90.35931483 23.79238583)
"HOUSE/FLAT # 259/B, BLOCK # AHMEDNAGAR, MIRPUR, CONTACT NO: 01766492370","259/B,",23.79254838,90.35897305,POINT (90.35897305 23.79254838)
"HOUSE/FLAT # 342/1, BLOCK # AHMEDNAGAR, MIRPUR, CONTACT NO: 01726669498","342/1, ",23.79401641,90.35669313,POINT (90.35669313 23.79401641)
"HOUSE/FLAT # 169, BLOCK # AHMEDNAGAR, PAIK PARA, MIRPUR, CONTACT NO: 01911210251","169, ",23.79451663,90.36078911,POINT (90.36078911 23.79451663)
"HOUSE/FLAT # 184/3/A, BLOCK # AHAMMAD NAGAR, MIRPUR, CONTACT NO: 01818667997","184/3/A, ",23.79277264,90.36081928,POINT (90.36081928 23.79277264)
"HOUSE/FLAT # 129/1/E, AHMED NAGOR, MIRPUR, CONTACT NO: 01816583055","129/1/E,",23.79313355,90.36167898,POINT (90.36167898 23.79313355)
"HOUSE/FLAT # 253, BLOCK # AHMED NAGAR PAIK PARA, MIRPUR, DHAKA-1216, CONTACT NO: 01681790064","253, ",23.79314394,90.35863684,POINT (90.35863684 23.79314394)
"HOUSE/FLAT # 354, BLOCK # WEST AHMEDNAGAR, MIRPUR-1216, CONTACT NO: 01755191494","354,",23.79259114,90.3561708,POINT (90.3561708 23.79259114)
"HOUSE/FLAT # 242/2, BLOCK # AHMED NAGAR, MIRPUR, DHAKA-1216, CONTACT NO: 01731608282","242/2,",23.79405262,90.35808136,POINT (90.35808136 23.79405262)
"HOUSE/FLAT # 353/3/1, PLOT # 353/3/1, ROAD # AHMEDNAGAR, MIRPUR, CONTACT NO: 01676381120","353/3/1, ",23.79213049,90.35561587,POINT (90.35561587 23.79213049)
"HOUSE/FLAT # 380 , AHMED NAGOR, MIRPUR, CONTACT NO: 01700915991",380,23.79246141,90.35718919,POINT (90.35718919 23.79246141)
"HOUSE/FLAT # 204/1/F, BLOCK # AHMED NAGAR, PAIK PARA, MIRPUR, CONTACT NO: 01755501286","204/1/F,",23.79277896,90.3593128,POINT (90.3593128 23.79277896)
"HOUSE/FLAT # 224, AHMED NAGOR, MIRPUR, CONTACT NO: 01552460210","224,",23.79422435,90.35914357,POINT (90.35914357 23.79422435)
"HOUSE/FLAT # 263/2/A, BLOCK # AHMEDNAGAR, MIRPUR, CONTACT NO: 01760227297","263/2/A, ",23.79225137,90.35952624,POINT (90.35952624 23.79225137)
"HOUSE/FLAT # 178/1/B, AHMEDNAGAR, MIRPUR, CONTACT NO: 01622323413","178/1/B,",23.79374871,90.36100709,POINT (90.36100709 23.79374871)
